언론사,Bias_Score_Final,Influence_Score,Cluster_Final
KBS,0.0599768347061166,1.8787597811898613,0
MBC,0.1422368743815699,1.7965364728501745,0
OBS,0.0220943667725907,-0.2356164181231791,0
SBS,0.0728300437607259,1.523114826684615,0
YTN,0.0708310159944735,0.9799556912398524,0
경향신문,0.0695838318801073,1.3038057336108095,0
국민일보,0.1210869212061361,0.0583927173476364,0
내일신문,0.0704385279449823,-2.4534144638781106,0
동아일보,0.1321451717500914,2.3916114416605967,0
문화일보,0.0838019855808057,0.8817698318562378,0
서울신문,0.0958220002511663,-0.0420566019628928,0
세계일보,0.1618840319284455,-0.5628379187832737,0
시사IN,0.5024463565044521,-1.3889957552354877,1
아시아투데이,0.4167034321589172,-0.3194984583500219,1
조선일보,0.0937979996278487,3.2785811290696896,0
중앙일보,0.1288013774752456,2.547787393028454,0
한겨레,0.1461123709740998,0.1203951063519302,0
한국일보,0.0781935475656712,0.7115261494836624,0
